lat,lon,minutes_remaining,period,playoffs,shot_distance,shot_made_flag
34.0063,-118.1388,7,4,0,13,0.0
34.0373,-118.2948,6,2,0,2,1.0
34.0253,-118.2518,3,1,0,2,1.0
34.0443,-118.2698,5,3,0,0,0.0
33.9743,-118.3118,4,4,0,8,1.0
34.0033,-118.2698,0,2,0,4,1.0
33.8483,-118.2228,10,3,1,20,1.0
33.8953,-118.1338,7,1,0,20,1.0
34.0443,-118.2698,0,1,0,0,0.0
33.9913,-118.3768,7,4,1,11,0.0
34.0043,-118.1908,4,1,0,8,0.0
34.0143,-118.1968,2,2,0,7,1.0
33.8853,-118.2838,8,2,0,15,0.0
33.9643,-118.3558,4,1,0,11,0.0
33.9163,-118.1548,6,2,0,17,0.0
34.0443,-118.2698,7,2,0,0,0.0
34.0473,-118.4228,3,4,0,15,0.0
33.9723,-118.2718,2,1,0,7,0.0
33.9113,-118.1578,1,2,0,17,0.0
33.8883,-118.2078,3,5,1,16,1.0
33.9973,-118.3218,0,1,0,7,0.0
34.0443,-118.2698,7,1,0,0,1.0
34.0443,-118.1378,0,2,0,13,0.0
34.0443,-118.2698,9,3,0,0,0.0
34.0343,-118.1238,3,4,1,14,1.0
33.9663,-118.2318,3,1,0,8,0.0
34.0443,-118.2698,6,3,0,0,1.0
34.0443,-118.2698,9,4,1,0,1.0
34.0443,-118.2698,3,2,0,0,1.0
33.9873,-118.2538,9,3,0,5,0.0
33.9793,-118.3688,11,3,0,11,0.0
34.0373,-118.1108,7,1,0,15,0.0
34.0323,-118.2768,0,2,0,1,0.0
34.0223,-118.1948,7,3,0,7,0.0
33.9903,-118.3188,6,1,0,7,0.0
34.0293,-118.2738,3,3,0,1,1.0
34.0183,-118.2908,6,2,0,3,0.0
33.8633,-118.2828,3,2,0,18,0.0
33.9443,-118.1798,9,3,0,13,1.0
33.9923,-118.2738,4,2,0,5,0.0
33.9173,-118.1448,3,3,0,17,0.0
33.9113,-118.1218,6,2,0,19,0.0
34.0523,-118.4148,5,3,0,14,1.0
34.0443,-118.2698,4,1,0,0,0.0
33.8543,-118.2308,6,3,0,19,1.0
34.0083,-118.1588,2,5,0,11,0.0
34.0443,-118.2698,3,2,0,0,1.0
33.9333,-118.2768,5,4,0,11,1.0
34.0273,-118.1898,9,2,0,8,1.0
33.9843,-118.2798,5,1,0,6,0.0
34.0443,-118.1208,3,2,0,14,0.0
34.0443,-118.2698,6,3,0,0,1.0
33.9403,-118.0978,0,1,0,20,0.0
33.9703,-118.3298,1,3,0,9,0.0
34.0443,-118.2698,8,3,0,0,1.0
33.9273,-118.1468,0,2,0,16,0.0
33.9053,-118.1698,8,3,0,17,0.0
33.8843,-118.4048,0,4,0,20,0.0
33.9393,-118.3628,2,4,0,14,0.0
34.0443,-118.2698,1,1,0,0,0.0
34.0443,-118.4278,10,3,0,15,1.0
34.0443,-118.2698,2,3,0,0,1.0
33.8633,-118.2638,7,2,0,18,1.0
33.9293,-118.3338,5,4,1,13,0.0
34.0373,-118.2488,0,4,0,2,1.0
34.0333,-118.2408,10,3,0,3,1.0
34.0443,-118.2698,2,1,0,0,1.0
33.9703,-118.2348,0,1,1,8,1.0
34.0443,-118.2698,7,1,0,0,1.0
34.0503,-118.2018,8,1,0,6,1.0
34.0603,-118.0828,4,1,0,18,0.0
33.9603,-118.0998,10,2,0,18,1.0
33.9093,-118.1188,10,1,0,20,0.0
33.9683,-118.2698,0,3,0,7,0.0
34.0103,-118.2938,3,2,0,4,0.0
33.8393,-118.2818,3,3,0,20,0.0
34.0443,-118.2698,3,2,0,0,0.0
34.0303,-118.2608,3,2,0,1,1.0
34.0633,-118.1238,4,3,0,14,1.0
33.9993,-118.1808,2,3,0,9,0.0
33.9473,-118.2498,9,1,1,9,0.0
34.0363,-118.2688,0,2,0,0,1.0
33.9193,-118.4258,0,1,0,19,1.0
34.0823,-118.4208,9,3,0,15,0.0
34.0033,-118.3158,6,3,0,6,1.0
33.9433,-118.1348,4,2,0,16,1.0
34.0443,-118.2698,0,4,0,0,1.0
33.9193,-118.4188,1,3,0,19,1.0
