,lat,lon,minutes_remaining,period,playoffs,shot_distance,shot_made_flag
1,34.0443,-118.4268,10,1,0,15,0.0
2,33.9093,-118.3708,7,1,0,16,1.0
3,33.8693,-118.1318,6,1,0,22,0.0
4,34.0443,-118.2698,6,2,0,0,1.0
5,34.0553,-118.4148,9,3,0,14,0.0
6,34.0443,-118.2698,8,3,0,0,1.0
8,33.9363,-118.3348,6,3,0,12,1.0
9,33.9193,-118.3028,3,3,0,12,0.0
11,33.9173,-118.1488,11,1,0,17,1.0
12,33.9343,-118.3368,7,1,0,12,1.0
13,34.0403,-118.3638,2,1,0,9,0.0
14,33.9973,-118.2928,1,1,0,5,0.0
15,33.8523,-118.2078,0,1,0,20,0.0
18,33.9473,-118.4018,11,3,0,16,0.0
20,33.9003,-118.2668,10,3,0,14,0.0
21,33.9173,-118.1358,9,3,0,18,0.0
22,33.9343,-118.2858,7,3,0,11,1.0
23,33.8943,-118.3788,5,3,0,18,1.0
24,33.9813,-118.3158,5,3,0,7,1.0
25,34.0443,-118.2698,2,3,0,0,0.0
26,33.8483,-118.3278,2,3,0,20,0.0
28,33.8713,-118.1848,8,4,0,19,0.0
29,33.9573,-118.2668,6,4,0,8,0.0
30,34.0403,-118.1488,1,4,0,12,1.0
31,34.0103,-118.1428,0,4,0,13,0.0
38,33.8603,-118.1788,3,2,0,20,1.0
40,33.9783,-118.4458,11,3,0,18,0.0
41,34.0403,-118.2628,10,3,0,0,1.0
42,33.9113,-118.1198,8,3,0,20,1.0
43,34.0293,-118.2208,8,3,0,5,0.0
45,34.0403,-118.2738,3,3,0,0,1.0
46,34.0403,-118.2738,2,3,0,0,0.0
47,34.0353,-118.2688,2,3,0,0,1.0
48,33.9243,-118.1488,4,4,0,17,1.0
50,34.0353,-118.2688,1,4,0,0,0.0
51,34.0353,-118.2818,1,4,0,1,0.0
52,33.9743,-118.2458,10,1,0,7,0.0
53,34.0483,-118.4588,10,1,0,18,0.0
57,34.0443,-118.2698,8,2,0,0,1.0
58,34.0443,-118.2698,4,2,0,0,1.0
60,33.9363,-118.3028,2,2,0,11,0.0
61,33.9953,-118.2478,0,2,0,5,1.0
62,34.0443,-118.2698,9,3,0,0,0.0
63,34.0233,-118.2138,0,3,0,5,0.0
64,34.0183,-118.1488,0,3,0,12,1.0
68,34.0443,-118.2698,7,1,0,0,1.0
69,34.0443,-118.2698,7,1,0,0,1.0
72,34.0443,-118.2698,7,2,0,0,1.0
73,33.9873,-118.2188,2,2,0,7,0.0
75,33.8543,-118.3888,11,3,0,22,1.0
76,33.9873,-118.2538,9,3,0,5,0.0
77,33.9343,-118.3538,7,3,0,13,0.0
78,34.0023,-118.3408,0,3,0,8,0.0
80,33.9113,-118.2398,5,4,0,13,1.0
81,33.8883,-118.2688,0,4,0,15,0.0
